VarName,Table,Column,Item,Additional_Info
VarCol1,Table 14,4,State Total,All Goats
VarCol2,Table 16,7,State Total,Mohair Clipped
VarCol3,Table 18,4,HORSES AND PONIES (SEE TEXT),-
VarCol4,Table 18,4,"MULES, BURROS, AND DONKEYS",-
VarCol5,Table 20,4,CHUKARS ,-
VarCol6,Table 20,4,DUCKS,-
VarCol7,Table 20,4,EMUS,-
VarCol8,Table 20,4,GEESE ,-
VarCol9,Table 20,4,GUINEAS,-
VarCol10,Table 20,4,HUNGARIAN PARTRIDGE ,-
VarCol11,Table 20,4,OSTRICHES,-
VarCol12,Table 20,4,PEACOCKS OR PEAHENS ,-
VarCol13,Table 20,4,PHEASANTS,-
VarCol14,Table 20,4,PIGEONS OR SQUAB,-
VarCol15,Table 20,4,QUAIL,-
VarCol16,Table 20,4,RHEAS,-
VarCol17,Table 20,4,ROOSTERS ,-
VarCol18,Table 20,4,OTHER POULTRY (SEE TEXT) ,-
VarCol19,Table 20,4,POULTRY HATCHED (SEE TEXT),-
VarCol20,Table 21,4,State Total,Honey collected
VarCol21,Table 21,6,State Total,Honey Sales
VarCol22,Table 23,4,ALPACAS,-
VarCol23,Table 23,4,BISON ,-
VarCol24,Table 23,4,DEER IN CAPTIVITY,-
VarCol25,Table 23,4,ELK IN CAPTIVITY,-
VarCol26,Table 23,4,LLAMAS,-
VarCol27,Table 23,4,"RABBITS, LIVE (SEE TEXT)",-
VarCol28,Table 23,4,EQUINE PRODUCTS (SEE TEXT),-
VarCol29,Table 23,4,OTHER LIVESTOCK (SEE TEXT)  ,-
VarCol30,Table 23,4,OTHER LIVESTOCK PRODUCTS 1/ (SEE TEXT),-
VarCol31,Table 25,3,AUSTRIAN WINTER PEAS (CWT),-
VarCol32,Table 25,3,BARLEY FOR GRAIN (BUSHELS),-
VarCol33,Table 25,3,BUCKWHEAT (BUSHELS),-
VarCol34,Table 25,3,CAMELINA (POUNDS),-
VarCol35,Table 25,3,CANOLA (POUNDS),-
VarCol36,Table 25,3,CHICKPEAS (CWT) (SEE TEXT),-
VarCol37,Table 25,3,CORN FOR GRAIN (BUSHELS),-
VarCol38,Table 25,3,"COTTON, ALL (BALES)",-
VarCol39,Table 25,3,"DRY EDIBLE BEANS, EXCLUDING  ",-
VarCol40,Table 25,3,DRY EDIBLE PEAS (CWT) ,-
VarCol41,Table 25,3,DRY LIMA BEANS (CWT),-
VarCol42,Table 25,3,DRY SOUTHERN PEAS (COWPEAS),-
VarCol43,Table 25,3,EMMER AND SPELT (BUSHELS) ,-
VarCol44,Table 25,3,FLAXSEED (BUSHELS),-
VarCol45,Table 25,3,LENTILS (CWT),-
VarCol46,Table 25,3,MUSTARD SEED (POUNDS),-
VarCol47,Table 25,3,OATS FOR GRAIN (BUSHELS) ,-
VarCol48,Table 25,3,PEANUTS FOR NUTS (POUNDS),-
VarCol49,Table 25,3,"POPCORN (POUNDS, SHELLED)",-
VarCol50,Table 25,3,PROSO MILLET (BUSHELS),-
VarCol51,Table 25,3,RAPESEED (POUNDS),-
VarCol52,Table 25,3,RICE (CWT),-
VarCol53,Table 25,3,RYE FOR GRAIN (BUSHELS),-
VarCol54,Table 25,3,SAFFLOWER (POUNDS),-
VarCol55,Table 25,3,SORGHUM FOR GRAIN ,-
VarCol56,Table 25,3,SOYBEANS FOR BEANS ,-
VarCol57,Table 25,3,SUGARBEETS FOR SEED ,-
VarCol58,Table 25,3,SUGARBEETS FOR SUGAR,-
VarCol59,Table 25,3,SUGARCANE FOR SEED,-
VarCol60,Table 25,3,SUGARCANE FOR SUGAR ,-
VarCol61,Table 25,3,"SUNFLOWER SEED, ALL",-
VarCol62,Table 25,3,TOBACCO (POUNDS) ,-
VarCol63,Table 25,3,TRITICALE (BUSHELS),-
VarCol64,Table 25,3,"WHEAT FOR GRAIN, ALL",-
VarCol65,Table 25,3,WILD RICE (CWT),-
VarCol66,Table 26,3,ALFALFA SEED (POUNDS),-
VarCol67,Table 26,3,BAHIA GRASS SEED ,-
VarCol68,Table 26,3,BENTGRASS SEED,-
VarCol69,Table 26,3,BERMUDA GRASS SEED ,-
VarCol70,Table 26,3,BIRDSFOOT TREFOIL SEED,-
VarCol71,Table 26,3,BROMEGRASS SEED ,-
VarCol72,Table 26,3,CRIMSON CLOVER SEED ,-
VarCol73,Table 26,3,FESCUE SEED (POUNDS),-
VarCol74,Table 26,3,KENTUCKY BLUEGRASS SEED ,-
VarCol75,Table 26,3,LESPEDEZA SEED (POUNDS),-
VarCol76,Table 26,3,ORCHARDGRASS SEED (POUNDS,-
VarCol77,Table 26,3,RED CLOVER SEED (POUNDS),-
VarCol78,Table 26,3,RYEGRASS SEED (POUNDS),-
VarCol79,Table 26,3,SUDANGRASS SEED (POUNDS),-
VarCol80,Table 26,3,TIMOTHY SEED (POUNDS) ,-
VarCol81,Table 26,3,VETCH SEED (POUNDS) ,-
VarCol82,Table 26,3,WHEATGRASS SEED (POUNDS),-
VarCol83,Table 26,3,WHITE CLOVER SEED (POUNDS),-
VarCol84,Table 26,3,OTHER FIELD AND GRASS SEED,-
VarCol85,Table 26,3,FORAGE - LAND USED FOR ALL HAY,SUM?
VarCol86,Table 26,3,HAY - ALL HAY INCLUDING ALFALFA,-
VarCol87,Table 26,3,"ALL HAYLAGE, GRASS SILAGE, AND ",-
VarCol88,Table 26,3,CORN FOR SILAGE OR,-
VarCol89,Table 26,3,SORGHUM FOR SILAGE OR,-
VarCol90,Table 27,3,"CORN, TRADITIONAL OR  ",-
VarCol91,Table 27,3,DILL FOR OIL (POUNDS),-
VarCol92,Table 27,3,GUAR (POUNDS),-
VarCol93,Table 27,3,"HERBS, DRIED (POUNDS) ",-
VarCol94,Table 27,3,HOPS (POUNDS),-
VarCol95,Table 27,3,JOJOBA (POUNDS),-
VarCol96,Table 27,3,"MINT FOR OIL, ALL",-
VarCol97,Table 27,3,MINT TEA LEAVES (POUNDS) ,-
VarCol98,Table 27,3,MISCANTHUS (TONS) ,-
VarCol99,Table 27,3,SESAME (POUNDS),-
VarCol100,Table 27,3,SORGHUM FOR SYRUP (GALLONS),-
VarCol101,Table 27,3,SWEET CORN FOR SEED,-
VarCol102,Table 27,3,SWITCHGRASS (TONS) ,-
VarCol103,Table 27,3,OTHER CROPS (SEE TEXT),-
VarCol104,Table 29,2,VEGETABLES HARVESTED,SUM
VarCol105,Table 29,2,"ARTICHOKES, EXCLUDING JERUSALEM",-
VarCol106,Table 29,2,"ASPARAGUS, BEARING AGE",-
VarCol107,Table 29,2,"BEANS, LIMA (SEE TEXT)",-
VarCol108,Table 29,2,"BEANS, SNAP (BUSH AND POLE)",-
VarCol109,Table 29,2,BEETS,-
VarCol110,Table 29,2,BROCCOLI ,-
VarCol111,Table 29,2,BRUSSELS SPROUTS ,-
VarCol112,Table 29,2,"CABBAGE, CHINESE (NAPPA,",-
VarCol113,Table 29,2,"CABBAGE, HEAD ",-
VarCol114,Table 29,2,"CABBAGE, MUSTARD",-
VarCol115,Table 29,2,CANTALOUPES AND MUSKMELONS,-
VarCol116,Table 29,2,CARROTS,-
VarCol117,Table 29,2,CAULIFLOWER ,-
VarCol118,Table 29,2,CELERY,-
VarCol119,Table 29,2,CHICORY ,-
VarCol120,Table 29,2,COLLARDS,-
VarCol121,Table 29,2,CUCUMBERS AND PICKLES,-
VarCol122,Table 29,2,DAIKON,-
VarCol123,Table 29,2,EGGPLANT ,-
VarCol124,Table 29,2,ESCAROLE AND ENDIVE,-
VarCol125,Table 29,2,GARLIC,-
VarCol126,Table 29,2,GINGER ROOT (SEE TEXT),-
VarCol127,Table 29,2,GINSENG,-
VarCol128,Table 29,2,"HERBS, FRESH CUT",-
VarCol129,Table 29,2,HONEYDEW MELONS,-
VarCol130,Table 29,2,HORSERADISH,-
VarCol131,Table 29,2,KALE,-
VarCol132,Table 29,2,"LETTUCE, ALL",-
VarCol133,Table 29,2,MUSTARD GREENS ,-
VarCol134,Table 29,2,OKRA,-
VarCol135,Table 29,2,"ONIONS, DRY",-
VarCol136,Table 29,2,"ONIONS, GREEN",-
VarCol137,Table 29,2,PARSLEY,-
VarCol138,Table 29,2,"PEAS, CHINESE (SUGAR AND SNOW)",-
VarCol139,Table 29,2,"PEAS, GREEN (SEE TEXT) ",-
VarCol140,Table 29,2,"PEAS, SOUTHERN (COWPEAS)",-
VarCol141,Table 29,2,"PEPPERS, BELL (EXCLUDING PIMIENTOS)",-
VarCol142,Table 29,2,"PEPPERS, OTHER THAN BELL",-
VarCol143,Table 29,2,POTATOES,-
VarCol144,Table 29,2,PUMPKINS,-
VarCol145,Table 29,2,RADISHES,-
VarCol146,Table 29,2,RHUBARB,-
VarCol147,Table 29,2,SPINACH,-
VarCol148,Table 29,2,"SQUASH, ALL",-
VarCol149,Table 29,2,SWEET CORN ,-
VarCol150,Table 29,2,SWEET POTATOES,-
VarCol151,Table 29,2,TARO (SEE TEXT) ,-
VarCol152,Table 29,2,TOMATOES IN THE OPEN,-
VarCol153,Table 29,2,TURNIP GREENS,-
VarCol154,Table 29,2,TURNIPS ,-
VarCol155,Table 29,2,WATERCRESS,-
VarCol156,Table 29,2,WATERMELONS,-
VarCol157,Table 29,2,OTHER VEGETABLES (SEE TEXT),-
VarCol158,Table 31,4,"NONCITRUS, ALL (SEE",SUM
VarCol159,Table 31,4,APPLES,-
VarCol160,Table 31,4,APRICOTS,-
VarCol161,Table 31,4,AVOCADOS,-
VarCol162,Table 31,4,BANANAS,-
VarCol163,Table 31,4,CHERIMOYAS (SEE TEXT),-
VarCol164,Table 31,4,"CHERRIES, SWEET",-
VarCol165,Table 31,4,"CHERRIES, TART ",-
VarCol166,Table 31,4,COFFEE ,-
VarCol167,Table 31,4,DATES,-
VarCol168,Table 31,4,FIGS,-
VarCol169,Table 31,4,GRAPES,-
VarCol170,Table 31,4,GUAVAS,-
VarCol171,Table 31,4,KIWIFRUIT,-
VarCol172,Table 31,4,MANGOES,-
VarCol173,Table 31,4,NECTARINES,-
VarCol174,Table 31,4,OLIVES,-
VarCol175,Table 31,4,PAPAYAS,-
VarCol176,Table 31,4,PASSION FRUIT,-
VarCol177,Table 31,4,"PEACHES, ALL",-
VarCol178,Table 31,4,"PEARS, ALL",-
VarCol179,Table 31,4,PERSIMMONS,-
VarCol180,Table 31,4,PINEAPPLES (SEE TEXT),-
VarCol181,Table 31,4,"PLUMCOTS, PLUOTS, AND ",-
VarCol182,Table 31,4,PLUMS AND PRUNES,-
VarCol183,Table 31,4,POMEGRANATES,-
VarCol184,Table 31,4,OTHER NONCITRUS FRUIT (SEE TEXT)  ,-
VarCol185,Table 31,4,"CITRUS FRUIT, ALL ",SUM
VarCol186,Table 31,4,GRAPEFRUIT ,-
VarCol187,Table 31,4,KUMQUATS,-
VarCol188,Table 31,4,LEMONS,-
VarCol189,Table 31,4,LIMES,-
VarCol190,Table 31,4,"ORANGES, ALL",-
VarCol191,Table 31,4,TANGELOS,-
VarCol192,Table 31,4,TANGERINES (SEE TEXT),-
VarCol193,Table 31,4,OTHER CITRUS FRUIT (SEE TEXT) ,-
VarCol194,Table 31,4,"NUTS, ALL",SUM
VarCol195,Table 31,4,ALMONDS,-
VarCol196,Table 31,4,CHESTNUTS,-
VarCol197,Table 31,4,HAZELNUTS (FILBERTS),-
VarCol198,Table 31,4,MACADAMIA NUTS,-
VarCol199,Table 31,4,"PECANS, ALL",-
VarCol200,Table 31,4,PISTACHIOS,-
VarCol201,Table 31,4,"WALNUTS, ENGLISH",-
VarCol202,Table 31,4,OTHER NUTS (SEE TEXT) ,-
VarCol203,Table 32,2,State Total,SUM
VarCol204,Table 33,2,ARONIA BERRIES (SEE TEXT),-
VarCol205,Table 33,2,BLACKBERRIES AND DEWBERRIES ,-
VarCol206,Table 33,2,"BLUEBERRIES, ALL (SEE TEXT)",-
VarCol207,Table 33,2,BOYSENBERRIES,-
VarCol208,Table 33,2,CRANBERRIES,-
VarCol209,Table 33,2,CURRANTS (BLACK OR RED),-
VarCol210,Table 33,2,ELDERBERRIES (SEE TEXT) ,-
VarCol211,Table 33,2,LOGANBERRIES,-
VarCol212,Table 33,2,"RASPBERRIES, ALL",-
VarCol213,Table 33,2,STRAWBERRIES,-
VarCol214,Table 33,2,OTHER BERRIES,-
VarCol215,Table 34,2,"BEDDING/GARDEN PLANTS, CUT FLOWERS AND CUT ",SUM
VarCol216,Table 34,3,"BEDDING/GARDEN PLANTS, CUT FLOWERS AND CUT ",SUM
VarCol217,Table 34,2,"BEDDING/GARDEN PLANTS - ANNUALS, HERBACEOUS",-
VarCol218,Table 34,3,"BEDDING/GARDEN PLANTS - ANNUALS, HERBACEOUS",-
VarCol219,Table 34,2,CUT FLOWERS AND CUT FLORIST GREENS,-
VarCol220,Table 34,3,CUT FLOWERS AND CUT FLORIST GREENS,-
VarCol221,Table 34,2,"FOLIAGE PLANTS, INDOOR (INCLUDING HANGING",-
VarCol222,Table 34,3,"FOLIAGE PLANTS, INDOOR (INCLUDING HANGING",-
VarCol223,Table 34,2,POTTED FLOWERING PLANTS ,-
VarCol224,Table 34,3,POTTED FLOWERING PLANTS ,-
VarCol225,Table 34,2,OTHER FLORICULTURE AND BEDDING CROPS (SEE TEXT),-
VarCol226,Table 34,3,OTHER FLORICULTURE AND BEDDING CROPS (SEE TEXT),-
VarCol227,Table 34,2,NURSERY STOCK CROPS (SEE TEXT),-
VarCol228,Table 34,3,NURSERY STOCK CROPS (SEE TEXT),-
VarCol229,Table 34,3,SOD HARVESTED,-
VarCol230,Table 34,2,TOTAL GREENHOUSE VEGETABLES AND FRESH,SUM
VarCol231,Table 34,2,GREENHOUSE TOMATOES,-
VarCol232,Table 34,2,OTHER GREENHOUSE VEGETABLES AND FRESH ,-
VarCol233,Table 34,2,MUSHROOMS,-
VarCol234,Table 35,5,State Total,Cultivated Christmas Tree
VarCol235,Table 37,3,State Total,Maple syrup produced
